_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-15,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-15,8.1,13,28160,174,499,25,5,0.98,332|602|672|675|890|891|983|1642|1871|1958|2146|3265|4088|4176|4288|5347|5424|6533|7298|9133|9232|10527|26999|28996|29128,BIRC5|BCL3|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|DDB1|E2F3|EGR1|EZH2|HRAS|SMAD3|MCM7|MKI67|PLK1|POLD1|SLC6A6|TYMS|CCNB2|PTTG1|IPO7|CYFIP2|HIPK2|UHRF1,-12,0
1,-14,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-14,8.7,12,28160,142,499,22,4.4,0.92,332|672|891|983|1387|1719|3159|4174|5111|5347|6240|6241|7153|7298|29028|29102|29127|29128|55544|55723|56998|83879,BIRC5|BRCA1|CCNB1|CDK1|CREBBP|DHFR|HMGA1|MCM5|PCNA|PLK1|RRM1|RRM2|TOP2A|TYMS|ATAD2|DROSHA|RACGAP1|UHRF1|RBM38|ASF1B|CTNNBIP1|CDCA7,-11,0
1,-8.2,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-8.2,12,10,28160,46,499,10,2,0.63,332|1642|3159|3458|4171|4172|4173|4174|4175|4176,BIRC5|DDB1|HMGA1|IFNG|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7,-5.7,0
1,-6.7,TRR01546,M1,1,0,TRRUST,34,Regulated by: YBX1,,-6.7,13,9.3,28160,36,499,8,1.6,0.56,891|991|1033|1164|3838|5932|7153|7298,CCNB1|CDC20|CDKN3|CKS2|KPNA2|RBBP8|TOP2A|TYMS,-4.4,0
1,-6.4,TRR01406,M1,1,0,TRRUST,34,Regulated by: TFDP1,,-6.4,28,12,28160,10,499,5,1,0.45,983|1719|5111|6240|7298,CDK1|DHFR|PCNA|RRM1|TYMS,-4.1,0
1,-6.3,TRR01153,M1,1,0,TRRUST,34,Regulated by: RBL1,,-6.3,45,13,28160,5,499,4,0.8,0.4,672|890|3012|7027,BRCA1|CCNA2|H2AC8|TFDP1,-4.1,0
1,-5.6,TRR01150,M1,1,0,TRRUST,34,Regulated by: RB1,,-5.6,11,8,28160,36,499,7,1.4,0.53,332|672|983|1719|1871|5111|7027,BIRC5|BRCA1|CDK1|DHFR|E2F3|PCNA|TFDP1,-3.4,0
1,-4.6,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-4.6,5.1,5.8,28160,110,499,10,2,0.63,865|890|891|1387|2033|4953|5111|10527|11065|83879,CBFB|CCNA2|CCNB1|CREBBP|EP300|ODC1|PCNA|IPO7|UBE2C|CDCA7,-2.6,0
1,-4.2,TRR00232,M1,1,0,TRRUST,34,Regulated by: E2F3,,-4.2,17,7.9,28160,13,499,4,0.8,0.4,890|891|983|5347,CCNA2|CCNB1|CDK1|PLK1,-2.3,0
1,-4.2,TRR00233,M1,1,0,TRRUST,34,Regulated by: E2F4,,-4.2,11,6.9,28160,25,499,5,1,0.45,332|672|891|3054|5347,BIRC5|BRCA1|CCNB1|HCFC1|PLK1,-2.3,0
1,-4,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-4,6.4,5.7,28160,62,499,7,1.4,0.53,332|672|1387|2146|3458|5111|9133,BIRC5|BRCA1|CREBBP|EZH2|IFNG|PCNA|CCNB2,-2.1,0
1,-3.2,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-3.2,5.7,4.9,28160,59,499,6,1.2,0.49,675|891|1958|2033|8570|259266,BRCA2|CCNB1|EGR1|EP300|KHSRP|ASPM,-1.6,0
1,-3.1,TRR00766,M1,1,0,TRRUST,34,Regulated by: MSC,,-3.1,15,6.4,28160,11,499,3,0.6,0.35,1493|3458|4176,CTLA4|IFNG|MCM7,-1.5,0
1,-2.9,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-2.9,2.2,3.6,28160,522,499,20,4,0.88,332|489|672|865|890|1642|1958|2149|3064|3159|3265|4069|4953|5424|7083|7298|7874|8140|9232|387103,BIRC5|ATP2A3|BRCA1|CBFB|CCNA2|DDB1|EGR1|F2R|HTT|HMGA1|HRAS|LYZ|ODC1|POLD1|TK1|TYMS|USP7|SLC7A5|PTTG1|CENPW,-1.4,0
1,-2.8,TRR01548,M1,1,0,TRRUST,34,Regulated by: YY1,,-2.8,4.1,4.1,28160,97,499,7,1.4,0.53,672|1234|1387|3054|3458|5111|23468,BRCA1|CCR5|CREBBP|HCFC1|IFNG|PCNA|CBX5,-1.2,0
1,-2,TRR00022,M1,1,0,TRRUST,34,Regulated by: ATF1,,-2,6.8,3.9,28160,25,499,3,0.6,0.35,6574|7153|7874,SLC20A1|TOP2A|USP7,-0.7,0
1,-2,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-2,4.8,3.5,28160,47,499,4,0.8,0.4,332|891|4953|5214,BIRC5|CCNB1|ODC1|PFKP,-0.7,0
