Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
864,3.0,1,1,1
63967,3.0,1,1,1
4176,3.0,1,1,1
3054,3.0,1,1,1
2889,3.0,1,1,1
3958,3.0,1,1,1
1719,3.0,1,1,1
8439,3.0,1,1,1
203068,3.0,1,1,1
55201,3.0,1,1,1
55055,3.0,1,1,1
7342,3.0,1,1,1
2149,3.0,1,1,1
10403,3.0,1,1,1
9113,3.0,1,1,1
55143,3.0,1,1,1
23198,3.0,1,1,1
4928,3.0,1,1,1
23326,3.0,1,1,1
11091,3.0,1,1,1
29072,3.0,1,1,1
51053,3.0,1,1,1
1512,3.0,1,1,1
8969,3.0,1,1,1
25942,3.0,1,1,1
3916,3.0,1,1,1
9918,3.0,1,1,1
11130,3.0,1,1,1
8871,3.0,1,1,1
3064,3.0,1,1,1
9852,3.0,1,1,1
80232,3.0,1,1,1
6721,3.0,1,1,1
8697,3.0,1,1,1
283489,3.0,1,1,1
2870,3.0,1,1,1
2171,3.0,1,1,1
865,3.0,1,1,1
10270,3.0,1,1,1
3833,3.0,1,1,1
3043,3.0,1,1,1
9716,3.0,1,1,1
4001,3.0,1,1,1
3159,3.0,1,1,1
1434,3.0,1,1,1
7153,3.0,1,1,1
3458,3.0,1,1,1
891,3.0,1,1,1
3009,3.0,1,1,1
23225,3.0,1,1,1
9787,3.0,1,1,1
7133,3.0,1,1,1
983,3.0,1,1,1
55809,3.0,1,1,1
8364,3.0,1,1,1
7317,3.0,1,1,1
55723,3.0,1,1,1
8661,3.0,1,1,1
9343,3.0,1,1,1
1164,3.0,1,1,1
9021,3.0,1,1,1
23332,3.0,1,1,1
55697,3.0,1,1,1
7874,3.0,1,1,1
1871,3.0,1,1,1
55135,3.0,1,1,1
3017,3.0,1,1,1
57118,3.0,1,1,1
79677,3.0,1,1,1
3006,3.0,1,1,1
8189,3.0,1,1,1
489,3.0,1,1,1
54890,3.0,1,1,1
6839,3.0,1,1,1
55294,3.0,1,1,1
3718,3.0,1,1,1
64332,3.0,1,1,1
4953,3.0,1,1,1
9883,3.0,1,1,1
435,3.0,1,1,1
1387,3.0,1,1,1
6018,3.0,1,1,1
147179,3.0,1,1,1
26271,3.0,1,1,1
7171,3.0,1,1,1
3376,3.0,1,1,1
3662,3.0,1,1,1
51512,3.0,1,1,1
2011,3.0,1,1,1
2316,3.0,1,1,1
9839,3.0,1,1,1
288,3.0,1,1,1
51043,3.0,1,1,1
387103,3.0,1,1,1
25777,3.0,1,1,1
84984,3.0,1,1,1
1859,3.0,1,1,1
57609,3.0,1,1,1
55209,3.0,1,1,1
6241,3.0,1,1,1
29887,3.0,1,1,1
10036,3.0,1,1,1
868,3.0,1,1,1
57186,3.0,1,1,1
1642,3.0,1,1,1
10797,3.0,1,1,1
26147,3.0,1,1,1
4173,3.0,1,1,1
1729,3.0,1,1,1
10908,3.0,1,1,1
302,3.0,1,1,1
3503,3.0,1,1,1
6510,3.0,1,1,1
3008,3.0,1,1,1
5580,3.0,1,1,1
8535,3.0,1,1,1
283149,3.0,1,1,1
11218,3.0,1,1,1
283871,3.0,1,1,1
25929,3.0,1,1,1
79019,3.0,1,1,1
200014,3.0,1,1,1
7027,3.0,1,1,1
23141,3.0,1,1,1
991,3.0,1,1,1
672,3.0,1,1,1
7533,3.0,1,1,1
83879,3.0,1,1,1
4172,3.0,1,1,1
7298,3.0,1,1,1
57634,3.0,1,1,1
2146,3.0,1,1,1
3007,3.0,1,1,1
23046,3.0,1,1,1
151246,3.0,1,1,1
1062,3.0,1,1,1
636,3.0,1,1,1
55920,3.0,1,1,1
79968,3.0,1,1,1
29127,3.0,1,1,1
11332,3.0,1,1,1
8826,3.0,1,1,1
51659,3.0,1,1,1
23345,3.0,1,1,1
29028,3.0,1,1,1
10114,3.0,1,1,1
191,3.0,1,1,1
3902,3.0,1,1,1
8140,3.0,1,1,1
332,3.0,1,1,1
80169,3.0,1,1,1
1994,3.0,1,1,1
3566,3.0,1,1,1
9862,3.0,1,1,1
4069,3.0,1,1,1
4175,3.0,1,1,1
1234,3.0,1,1,1
7280,3.0,1,1,1
54471,3.0,1,1,1
3843,3.0,1,1,1
8932,3.0,1,1,1
4853,3.0,1,1,1
23367,3.0,1,1,1
6907,3.0,1,1,1
