Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-7.2,6.7,8,28160,692,79,13,16,4.2,672|890|1870|3306|5566|8340|8358|11339|51750|55388|57082|64151|220134,BRCA1|CCNA2|E2F2|HSPA2|PRKACA|H2BC13|H3C2|OIP5|RTEL1|MCM10|KNL1|NCAPG|SKA1,-2.8,MyList
Reactome Gene Sets,6,R-HSA-2559583,Cellular Senescence,,-4.7,11,7.4,28160,197,79,6,7.6,3,890|1870|1912|3009|8340|8358,CCNA2|E2F2|PHC2|H1-5|H2BC13|H3C2,-0.68,MyList
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-4.6,5.7,6,28160,561,79,9,11,3.6,890|1870|5566|8340|8358|55388|57082|64151|220134,CCNA2|E2F2|PRKACA|H2BC13|H3C2|MCM10|KNL1|NCAPG|SKA1,-0.68,MyList
Canonical Pathways,11,M11,PID PRL SIGNALING EVENTS PATHWAY,,-4.4,46,12,28160,23,79,3,3.8,2.2,890|1958|3672,CCNA2|EGR1|ITGA1,-0.68,MyList
Reactome Gene Sets,6,R-HSA-73886,Chromosome Maintenance,,-4.3,13,7.3,28160,141,79,5,6.3,2.7,890|8340|11339|51750|57082,CCNA2|H2BC13|OIP5|RTEL1|KNL1,-0.65,MyList
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-3.7,7.3,5.7,28160,294,79,6,7.6,3,672|890|8340|55388|57082|220134,BRCA1|CCNA2|H2BC13|MCM10|KNL1|SKA1,-0.38,MyList
KEGG Pathway,24,hsa05169,Epstein-Barr virus infection,,-3.7,7.2,5.7,28160,299,79,6,7.6,3,890|1870|3306|5566|6300|55703,CCNA2|E2F2|HSPA2|PRKACA|MAPK12|POLR3B,-0.38,MyList
GO Biological Processes,19,GO:0006310,DNA recombination,19_GO:0008152 metabolic process,-3.6,7,5.6,28160,306,79,6,7.6,3,672|3009|6929|51750|80311|158880,BRCA1|H1-5|TCF3|RTEL1|KLHL15|USP51,-0.38,MyList
GO Biological Processes,19,GO:0000018,regulation of DNA recombination,19_GO:0050789 regulation of biological process,-3.6,13,6.8,28160,107,79,4,5.1,2.5,3009|51750|80311|158880,H1-5|RTEL1|KLHL15|USP51,-0.38,MyList
KEGG Pathway,24,ko05169,Epstein-Barr virus infection,,-3.6,8.9,5.9,28160,201,79,5,6.3,2.7,890|3306|5566|6300|55703,CCNA2|HSPA2|PRKACA|MAPK12|POLR3B,-0.38,MyList
Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,,-3.6,4.2,4.8,28160,757,79,9,11,3.6,890|1870|1912|3009|3306|4688|8340|8358|10743,CCNA2|E2F2|PHC2|H1-5|HSPA2|NCF2|H2BC13|H3C2|RAI1,-0.38,MyList
GO Biological Processes,19,GO:0060119,inner ear receptor cell development,19_GO:0032502 developmental process,-3.6,24,8.1,28160,45,79,3,3.8,2.2,4669|11078|23513,NAGLU|TRIOBP|SCRIB,-0.38,MyList
GO Biological Processes,19,GO:0045910,negative regulation of DNA recombination,19_GO:0048519 negative regulation of biological process,-3.6,24,8.1,28160,45,79,3,3.8,2.2,3009|51750|80311,H1-5|RTEL1|KLHL15,-0.38,MyList
GO Biological Processes,19,GO:0071103,DNA conformation change,19_GO:0009987 cellular process,-3.6,6.7,5.4,28160,319,79,6,7.6,3,3009|8340|8358|11339|51750|64151,H1-5|H2BC13|H3C2|OIP5|RTEL1|NCAPG,-0.38,MyList
Reactome Gene Sets,6,R-HSA-8953897,Cellular responses to stimuli,,-3.5,4.2,4.7,28160,771,79,9,11,3.6,890|1870|1912|3009|3306|4688|8340|8358|10743,CCNA2|E2F2|PHC2|H1-5|HSPA2|NCF2|H2BC13|H3C2|RAI1,-0.38,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-3.5,4.2,4.7,28160,771,79,9,11,3.6,1958|3500|3502|3503|6929|23513|64127|64218|161882,EGR1|IGHG1|IGHG3|IGHG4|TCF3|SCRIB|NOD2|SEMA4A|ZFPM1,-0.38,MyList
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-3.5,4.7,4.8,28160,613,79,8,10,3.4,890|3832|11078|11339|57082|64151|89958|220134,CCNA2|KIF11|TRIOBP|OIP5|KNL1|NCAPG|SAPCD2|SKA1,-0.38,MyList
GO Biological Processes,19,GO:0010569,regulation of double-strand break repair via homologous recombination,19_GO:0050896 response to stimulus,-3.5,22,7.8,28160,48,79,3,3.8,2.2,51750|80311|158880,RTEL1|KLHL15|USP51,-0.38,MyList
Reactome Gene Sets,6,R-HSA-1500620,Meiosis,,-3.5,12,6.4,28160,118,79,4,5.1,2.5,672|3306|8340|8358,BRCA1|HSPA2|H2BC13|H3C2,-0.38,MyList
GO Biological Processes,19,GO:0002455,humoral immune response mediated by circulating immunoglobulin,19_GO:0002376 immune system process,-3.4,12,6.3,28160,121,79,4,5.1,2.5,3500|3502|3503|64127,IGHG1|IGHG3|IGHG4|NOD2,-0.36,MyList
Reactome Gene Sets,6,R-HSA-2559580,Oxidative Stress Induced Senescence,,-3.4,11,6.2,28160,125,79,4,5.1,2.5,1870|1912|8340|8358,E2F2|PHC2|H2BC13|H3C2,-0.33,MyList
GO Biological Processes,19,GO:0006323,DNA packaging,19_GO:0009987 cellular process,-3.3,7.8,5.5,28160,229,79,5,6.3,2.7,3009|8340|8358|11339|64151,H1-5|H2BC13|H3C2|OIP5|NCAPG,-0.32,MyList
GO Biological Processes,19,GO:0006334,nucleosome assembly,19_GO:0009987 cellular process,-3.3,11,6.1,28160,129,79,4,5.1,2.5,3009|8340|8358|11339,H1-5|H2BC13|H3C2|OIP5,-0.32,MyList
GO Biological Processes,19,GO:0006282,regulation of DNA repair,19_GO:0050896 response to stimulus,-3.3,11,6,28160,130,79,4,5.1,2.5,672|51750|80311|158880,BRCA1|RTEL1|KLHL15|USP51,-0.32,MyList
Reactome Gene Sets,6,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),,-3.3,11,6,28160,132,79,4,5.1,2.5,672|890|8340|51750,BRCA1|CCNA2|H2BC13|RTEL1,-0.32,MyList
GO Biological Processes,19,GO:0051052,regulation of DNA metabolic process,19_GO:0050789 regulation of biological process,-3.3,5.9,5,28160,361,79,6,7.6,3,672|3009|10361|51750|80311|158880,BRCA1|H1-5|NPM2|RTEL1|KLHL15|USP51,-0.32,MyList
Reactome Gene Sets,6,R-HSA-8878171,Transcriptional regulation by RUNX1,,-3.2,7.5,5.3,28160,239,79,5,6.3,2.7,1912|6929|8340|8358|161882,PHC2|TCF3|H2BC13|H3C2|ZFPM1,-0.31,MyList
GO Biological Processes,19,GO:0000724,double-strand break repair via homologous recombination,19_GO:0050896 response to stimulus,-3.2,10,5.8,28160,138,79,4,5.1,2.5,672|51750|80311|158880,BRCA1|RTEL1|KLHL15|USP51,-0.31,MyList
Reactome Gene Sets,6,R-HSA-5693538,Homology Directed Repair,,-3.2,10,5.8,28160,138,79,4,5.1,2.5,672|890|8340|51750,BRCA1|CCNA2|H2BC13|RTEL1,-0.31,MyList
GO Biological Processes,19,GO:0000725,recombinational repair,19_GO:0050896 response to stimulus,-3.2,10,5.8,28160,140,79,4,5.1,2.5,672|51750|80311|158880,BRCA1|RTEL1|KLHL15|USP51,-0.3,MyList
Reactome Gene Sets,6,R-HSA-1474165,Reproduction,,-3.1,10,5.7,28160,143,79,4,5.1,2.5,672|3306|8340|8358,BRCA1|HSPA2|H2BC13|H3C2,-0.29,MyList
GO Biological Processes,19,GO:0060113,inner ear receptor cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.8,28160,62,79,3,3.8,2.2,4669|11078|23513,NAGLU|TRIOBP|SCRIB,-0.29,MyList
Reactome Gene Sets,6,R-HSA-5334118,DNA methylation,,-3.1,16,6.6,28160,65,79,3,3.8,2.2,8340|8358|29128,H2BC13|H3C2|UHRF1,-0.24,MyList
GO Biological Processes,19,GO:0042490,mechanoreceptor differentiation,19_GO:0032502 developmental process,-3,16,6.5,28160,67,79,3,3.8,2.2,4669|11078|23513,NAGLU|TRIOBP|SCRIB,-0.23,MyList
GO Biological Processes,19,GO:0050871,positive regulation of B cell activation,19_GO:0002376 immune system process,-3,9.4,5.5,28160,152,79,4,5.1,2.5,3500|3502|3503|64127,IGHG1|IGHG3|IGHG4|NOD2,-0.23,MyList
GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-3,3.9,4.2,28160,726,79,8,10,3.4,672|890|3306|3832|10361|51750|64151|89958,BRCA1|CCNA2|HSPA2|KIF11|NPM2|RTEL1|NCAPG|SAPCD2,-0.21,MyList
Canonical Pathways,11,M40,PID E2F PATHWAY,,-2.9,15,6.2,28160,73,79,3,3.8,2.2,672|890|1870,BRCA1|CCNA2|E2F2,-0.17,MyList
Reactome Gene Sets,6,R-HSA-68886,M Phase,,-2.9,5.1,4.5,28160,418,79,6,7.6,3,5566|8340|8358|57082|64151|220134,PRKACA|H2BC13|H3C2|KNL1|NCAPG|SKA1,-0.17,MyList
Reactome Gene Sets,6,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,,-2.9,14,6.1,28160,74,79,3,3.8,2.2,8340|11339|57082,H2BC13|OIP5|KNL1,-0.17,MyList
Reactome Gene Sets,6,R-HSA-774815,Nucleosome assembly,,-2.9,14,6.1,28160,74,79,3,3.8,2.2,8340|11339|57082,H2BC13|OIP5|KNL1,-0.17,MyList
GO Biological Processes,19,GO:0034728,nucleosome organization,19_GO:0009987 cellular process,-2.9,8.5,5.2,28160,167,79,4,5.1,2.5,3009|8340|8358|11339,H1-5|H2BC13|H3C2|OIP5,-0.17,MyList
Reactome Gene Sets,6,R-HSA-5693532,DNA Double-Strand Break Repair,,-2.9,8.5,5.2,28160,167,79,4,5.1,2.5,672|890|8340|51750,BRCA1|CCNA2|H2BC13|RTEL1,-0.17,MyList
GO Biological Processes,19,GO:0071407,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-2.9,4.3,4.2,28160,585,79,7,8.9,3.2,672|890|1958|5566|6261|7804|64127,BRCA1|CCNA2|EGR1|PRKACA|RYR1|LRP8|NOD2,-0.17,MyList
Reactome Gene Sets,6,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,,-2.9,8.5,5.2,28160,168,79,4,5.1,2.5,3832|5566|8358|161882,KIF11|PRKACA|H3C2|ZFPM1,-0.17,MyList
Reactome Gene Sets,6,R-HSA-1221632,Meiotic synapsis,,-2.8,14,5.9,28160,79,79,3,3.8,2.2,672|3306|8340,BRCA1|HSPA2|H2BC13,-0.13,MyList
