_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-3.6497740780592767,GO:0008152,metabolic process,M1,1,GO:0006310 DNA recombination
1,-3.623838548803876,GO:0050789,regulation of biological process,M1,1,GO:0000018 regulation of DNA recombination
1,-3.55753759631189,GO:0048519,negative regulation of biological process,M1,1,GO:0045910 negative regulation of DNA recombination
1,-3.55753759631189,GO:0032502,developmental process,M1,1,GO:0060119 inner ear receptor cell development
1,-3.5529677975520166,GO:0009987,cellular process,M1,1,GO:0071103 DNA conformation change
1,-3.512923284630216,GO:0002376,immune system process,M1,1,GO:0046649 lymphocyte activation
1,-3.474202168809862,GO:0050896,response to stimulus,M1,1,GO:0010569 regulation of double-strand break repair via homologous recombination
1,-2.759744435905324,GO:0051179,localization,M1,1,GO:0060401 cytosolic calcium ion transport
1,-2.695146645758636,GO:0048518,positive regulation of biological process,M1,1,GO:0001819 positive regulation of cytokine production
1,-2.586328967029815,GO:0032501,multicellular organismal process,M1,1,GO:0032642 regulation of chemokine production
1,-2.5125607158492422,GO:0040011,locomotion,M1,1,GO:0030593 neutrophil chemotaxis
1,-2.1064773365570906,GO:0051704,multi-organism process,M1,1,GO:0007281 germ cell development
