Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-11,14,12,28160,692,34,12,35,8.2,672|890|1870|3306|5566|8340|8358|11339|51750|55388|57082|220134,BRCA1|CCNA2|E2F2|HSPA2|PRKACA|H2BC13|H3C2|OIP5|RTEL1|MCM10|KNL1|SKA1,-6.5
MyList,Reactome Gene Sets,6,R-HSA-2559583,Cellular Senescence,,-6.9,25,12,28160,197,34,6,18,6.5,890|1870|1912|3009|8340|8358,CCNA2|E2F2|PHC2|H1-5|H2BC13|H3C2,-2.8
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-6.6,12,9,28160,561,34,8,24,7.3,890|1870|5566|8340|8358|55388|57082|220134,CCNA2|E2F2|PRKACA|H2BC13|H3C2|MCM10|KNL1|SKA1,-2.7
MyList,Reactome Gene Sets,6,R-HSA-73886,Chromosome Maintenance,,-6.1,29,12,28160,141,34,5,15,6.1,890|8340|11339|51750|57082,CCNA2|H2BC13|OIP5|RTEL1|KNL1,-2.4
MyList,Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-5.9,17,9.5,28160,294,34,6,18,6.5,672|890|8340|55388|57082|220134,BRCA1|CCNA2|H2BC13|MCM10|KNL1|SKA1,-2.3
MyList,KEGG Pathway,24,hsa05169,Epstein-Barr virus infection,,-5.8,17,9.4,28160,299,34,6,18,6.5,890|1870|3306|5566|6300|55703,CCNA2|E2F2|HSPA2|PRKACA|MAPK12|POLR3B,-2.3
MyList,Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,,-5.6,8.8,7.5,28160,757,34,8,24,7.3,890|1870|1912|3009|3306|4688|8340|8358,CCNA2|E2F2|PHC2|H1-5|HSPA2|NCF2|H2BC13|H3C2,-2.1
MyList,Reactome Gene Sets,6,R-HSA-8953897,Cellular responses to stimuli,,-5.5,8.6,7.4,28160,771,34,8,24,7.3,890|1870|1912|3009|3306|4688|8340|8358,CCNA2|E2F2|PHC2|H1-5|HSPA2|NCF2|H2BC13|H3C2,-2.1
MyList,KEGG Pathway,24,ko05169,Epstein-Barr virus infection,,-5.4,21,9.7,28160,201,34,5,15,6.1,890|3306|5566|6300|55703,CCNA2|HSPA2|PRKACA|MAPK12|POLR3B,-2
MyList,Reactome Gene Sets,6,R-HSA-8878171,Transcriptional regulation by RUNX1,,-5,17,8.8,28160,239,34,5,15,6.1,1912|6929|8340|8358|161882,PHC2|TCF3|H2BC13|H3C2|ZFPM1,-1.7
MyList,Reactome Gene Sets,6,R-HSA-1500620,Meiosis,,-4.9,28,10,28160,118,34,4,12,5.5,672|3306|8340|8358,BRCA1|HSPA2|H2BC13|H3C2,-1.6
MyList,Reactome Gene Sets,6,R-HSA-2559580,Oxidative Stress Induced Senescence,,-4.8,27,9.9,28160,125,34,4,12,5.5,1870|1912|8340|8358,E2F2|PHC2|H2BC13|H3C2,-1.5
