Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
890,3.0,1,1,1
4688,3.0,1,1,1
64127,3.0,1,1,1
8358,3.0,1,1,1
51750,3.0,1,1,1
1870,3.0,1,1,1
57082,3.0,1,1,1
672,3.0,1,1,1
29128,3.0,1,1,1
8340,3.0,1,1,1
3306,3.0,1,1,1
1958,3.0,1,1,1
158880,3.0,1,1,1
6300,3.0,1,1,1
3502,3.0,1,1,1
5566,3.0,1,1,1
3009,3.0,1,1,1
11339,3.0,1,1,1
161882,3.0,1,1,1
10612,2.0,1,0,1
220134,2.0,1,0,1
4298,2.0,1,0,1
404734,2.0,1,0,1
55703,2.0,1,0,1
1951,2.0,1,1,0
3832,2.0,1,0,1
10389,2.0,1,0,1
206358,2.0,1,0,1
6929,2.0,1,0,1
1912,2.0,1,0,1
55388,2.0,1,0,1
11078,2.0,1,1,0
4669,2.0,1,1,0
3672,2.0,1,1,0
89958,2.0,1,1,0
6261,2.0,1,0,1
80311,2.0,1,1,0
3500,2.0,1,1,0
4294,2.0,1,0,1
10024,2.0,1,0,1
23513,2.0,1,1,0
124359,2.0,1,0,1
3503,2.0,1,1,0
144097,1.0,1,0,0
79801,1.0,1,0,0
145438,1.0,1,0,0
7227,1.0,1,0,0
10743,1.0,1,0,0
284739,1.0,1,0,0
145837,1.0,1,0,0
25956,1.0,1,0,0
64398,1.0,1,0,0
161779,1.0,1,0,0
80818,1.0,1,0,0
606495,1.0,1,0,0
7804,1.0,1,0,0
374819,1.0,1,0,0
220213,1.0,1,0,0
6349,1.0,1,0,0
79147,1.0,1,0,0
6276,1.0,1,0,0
9187,1.0,1,0,0
100506755,1.0,1,0,0
64151,1.0,1,0,0
1462,1.0,1,0,0
27033,1.0,1,0,0
150763,1.0,1,0,0
10361,1.0,1,0,0
28231,1.0,1,0,0
26115,1.0,1,0,0
109729181,1.0,1,0,0
22911,1.0,1,0,0
64218,1.0,1,0,0
26505,1.0,1,0,0
25974,1.0,1,0,0
100133161,1.0,1,0,0
1184,1.0,1,0,0
79085,1.0,1,0,0
119391,1.0,1,0,0
84937,1.0,1,0,0
