_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.2,M30363,M1,1,0,Transcription Factor Targets,16,ZNF596 TARGET GENES,,-4.2,8.6,6.4,28160,654,30,6,20,7.3,463|2176|4684|10559|23603|197335,ZFHX3|FANCC|NCAM1|SLC35A1|CORO1C|WDR90,-1.3,0
1,-3.3,M10416,M1,1,0,Transcription Factor Targets,16,WWTAAGGC UNKNOWN,,-3.3,19,7.2,28160,146,30,3,10,5.5,4684|10398|54715,NCAM1|MYL9|RBFOX1,-0.52,0
1,-2.9,M10112,M1,1,0,Transcription Factor Targets,16,RNGTGGGC UNKNOWN,,-2.9,6,4.6,28160,784,30,5,17,6.8,4684|4900|23603|25862|79411,NCAM1|NRGN|CORO1C|USP49|GLB1L,-0.18,0
1,-2.9,M958,M1,1,0,Transcription Factor Targets,16,CEBP C,,-2.9,14,5.9,28160,207,30,3,10,5.5,463|54715|115727,ZFHX3|RBFOX1|RASGRP4,-0.17,0
1,-2.8,M4372,M1,1,0,Transcription Factor Targets,16,STAT5A 04,,-2.8,13,5.8,28160,214,30,3,10,5.5,4684|54715|387082,NCAM1|RBFOX1|SUMO4,-0.15,0
1,-2.6,M2209,M1,1,0,Transcription Factor Targets,16,CACBINDINGPROTEIN Q6,,-2.6,11,5.4,28160,246,30,3,10,5.5,4684|4900|23594,NCAM1|NRGN|ORC6,-0.018,0
1,-2.6,M14593,M1,1,0,Transcription Factor Targets,16,HNF1 C,,-2.6,11,5.3,28160,249,30,3,10,5.5,463|4684|54715,ZFHX3|NCAM1|RBFOX1,-0.018,0
1,-2.6,M4220,M1,1,0,Transcription Factor Targets,16,E2F 03,,-2.6,11,5.3,28160,249,30,3,10,5.5,4900|25862|54715,NRGN|USP49|RBFOX1,-0.018,0
1,-2.6,M7689,M1,1,0,Transcription Factor Targets,16,MEIS1 01,,-2.6,11,5.3,28160,249,30,3,10,5.5,4684|6615|54715,NCAM1|SNAI1|RBFOX1,-0.018,0
1,-2.6,M14230,M1,1,0,Transcription Factor Targets,16,HFH1 01,,-2.6,11,5.3,28160,251,30,3,10,5.5,4684|54715|387082,NCAM1|RBFOX1|SUMO4,-0.016,0
1,-2.1,M17925,M1,1,0,Transcription Factor Targets,16,MGGAAGTG GABP B,,-2.1,4.9,3.6,28160,771,30,4,13,6.2,4684|23603|79815|115950,NCAM1|CORO1C|NIPAL2|ZNF653,0,0
