_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.3,COVID365,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_N,,-7.3,1e+02,20,28160,79,14,4,29,12,857|3433|3434|3437,CAV1|IFIT2|IFIT1|IFIT3,-2.7,0
1,-6.2,COVID014,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-low-MOI_Up,,-6.2,1.7e+02,23,28160,35,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-2,0
1,-6,COVID239,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_Infected_vs_Neg_Up,,-6,1.5e+02,21,28160,41,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-2,0
1,-5.4,COVID373,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP2,,-5.4,35,12,28160,228,14,4,29,12,857|3433|3434|3437,CAV1|IFIT2|IFIT1|IFIT3,-1.7,0
1,-5.2,COVID282,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C5_Up,,-5.2,83,16,28160,73,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-1.7,0
1,-5.2,COVID017,M1,1,0,COVID,200,RNA_Blanco-Melo_Lung_Down,,-5.2,31,11,28160,259,14,4,29,12,3433|3434|3437|202309,IFIT2|IFIT1|IFIT3|GAPT,-1.7,0
1,-5.2,COVID237,M1,1,0,COVID,200,Proteome_Klann_Caco-2_24h_Up,,-5.2,79,15,28160,76,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-1.7,0
1,-4.8,COVID268,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C5_Up,,-4.8,60,13,28160,100,14,3,21,11,1601|3434|3437,DAB2|IFIT1|IFIT3,-1.3,0
1,-4.8,COVID254,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-4.8,58,13,28160,104,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-1.3,0
1,-4.5,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-4.5,48,12,28160,127,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-1.1,0
1,-4.3,COVID256,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-4.3,39,11,28160,154,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.89,0
1,-4.1,COVID028,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Up,,-4.1,36,10,28160,167,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.82,0
1,-4.1,COVID241,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_High_vs_Low_Up,,-4.1,35,10,28160,173,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.8,0
1,-3.7,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-3.7,26,8.5,28160,233,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.45,0
1,-3.4,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
1,-3.4,COVID038,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
1,-3.4,COVID040,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
1,-3.4,COVID048,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
1,-3.4,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
1,-3.4,COVID243,M1,1,0,COVID,200,RNA_Riva_Vero-E6_24h_Up,,-3.4,20,7.4,28160,300,14,3,21,11,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.27,0
