_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,C3714514,M1,1,0,DisGeNET,35,Infection,,-5.6,20,9.7,28160,491,14,5,36,13,857|3433|3434|3811|27036,CAV1|IFIT2|IFIT1|KIR3DL1|SIGLEC7,-1.7,0
1,-5.3,C0867389,M1,1,0,DisGeNET,35,Chronic graft-versus-host disease,,-5.3,33,11,28160,241,14,4,29,12,857|3434|3437|3811,CAV1|IFIT1|IFIT3|KIR3DL1,-1.7,0
1,-5.2,C1861305,M1,1,0,DisGeNET,35,TARSAL-CARPAL COALITION SYNDROME,,-5.2,31,11,28160,261,14,4,29,12,857|1601|3811|7379,CAV1|DAB2|KIR3DL1|UPK2,-1.7,0
1,-3.7,C0007138,M1,1,0,DisGeNET,35,"Carcinoma, Transitional Cell",,-3.7,13,6.7,28160,623,14,4,29,12,857|1601|3811|7379,CAV1|DAB2|KIR3DL1|UPK2,-0.45,0
1,-2.9,C0008497,M1,1,0,DisGeNET,35,Choriocarcinoma,,-2.9,14,6.1,28160,431,14,3,21,11,857|1601|3437,CAV1|DAB2|IFIT3,0,0
1,-2.9,C0349566,M1,1,0,DisGeNET,35,Squamous cell carcinoma of tongue,,-2.9,13,5.8,28160,462,14,3,21,11,857|3437|27036,CAV1|IFIT3|SIGLEC7,0,0
1,-2.7,C0281361,M1,1,0,DisGeNET,35,Adenocarcinoma of pancreas,,-2.7,12,5.5,28160,518,14,3,21,11,857|1601|3437,CAV1|DAB2|IFIT3,0,0
1,-2.7,C0002793,M1,1,0,DisGeNET,35,Anaplasia,,-2.7,11,5.3,28160,538,14,3,21,11,857|1601|124935,CAV1|DAB2|SLC43A2,0,0
1,-2.5,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-2.5,9.8,4.9,28160,615,14,3,21,11,857|3433|3434,CAV1|IFIT2|IFIT1,0,0
1,-2.5,C4048329,M1,1,0,DisGeNET,35,Immunosuppression,,-2.5,9.5,4.8,28160,632,14,3,21,11,857|3433|3811,CAV1|IFIT2|KIR3DL1,0,0
1,-2.4,C0242383,M1,1,0,DisGeNET,35,Age related macular degeneration,,-2.4,8.8,4.6,28160,685,14,3,21,11,857|3811|93426,CAV1|KIR3DL1|SYCE1,0,0
1,-2.3,C0038013,M1,1,0,DisGeNET,35,Ankylosing spondylitis,,-2.3,8.5,4.5,28160,710,14,3,21,11,3437|3811|27036,IFIT3|KIR3DL1|SIGLEC7,0,0
1,-2.3,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-2.3,8.2,4.4,28160,735,14,3,21,11,857|1601|7379,CAV1|DAB2|UPK2,0,0
