Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of natural killer cell chemotaxis (GO:2000503)	2/5	9.482777500558208e-06	0.0012172562062161	0	0	739.8888888888889	8557.579526684436	CCL4;XCL1
GO_Biological_Process_2021	innate immune response (GO:0045087)	5/302	9.774802725949603e-06	0.0012172562062161	0	0	22.09090909090909	254.83415818270555	TYROBP;FCER1G;IFI6;ISG15;JCHAIN
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	3/43	1.0286672165207128e-05	0.0012172562062161	0	0	87.97058823529412	1010.312424773928	TYROBP;CD160;XCL1
GO_Biological_Process_2021	regulation of interleukin-10 production (GO:0032653)	3/48	1.4370999329191404e-05	0.0012754261904657	0	0	78.17647058823529	871.6909684720048	TYROBP;XCL1;ISG15
GO_Biological_Process_2021	regulation of natural killer cell chemotaxis (GO:2000501)	2/7	1.989010047124072e-05	0.001362829387812	0	0	443.8888888888889	4805.225245888672	CCL4;XCL1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	6/621	2.3369481057198727e-05	0.001362829387812	0	0	13.494773519163765	143.90933919706973	FCER1G;CCL4;IFI6;XCL1;ISG15;UBE2V1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	4/179	2.687269215403978e-05	0.001362829387812	0	0	28.292857142857144	297.7653442583871	TYROBP;KLRB1;CD160;ICAM2
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	3/70	4.484955367711733e-05	0.001990198944422	0	0	52.4486391571554	525.1261034781696	FCER1G;CCL4;XCL1
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	3/73	5.0861068971299e-05	0.0020061866094234	0	0	50.19327731092437	496.2314582905286	FCER1G;CCL4;XCL1
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	3/77	5.9666458152070285e-05	0.0021181592643984	0	0	47.47058823529412	461.7340948301653	FCER1G;CCL4;XCL1
GO_Biological_Process_2021	neutrophil activation (GO:0042119)	2/16	0.0001130474302618912	0.0036483488857246	0	0	158.46031746031747	1440.0403167035038	FCER1G;TYROBP
GO_Biological_Process_2021	positive regulation of lymphocyte chemotaxis (GO:0140131)	2/18	0.00014396293387323563	0.0042589034604165	0	0	138.63888888888889	1226.393330101256	CCL4;XCL1
GO_Biological_Process_2021	myeloid cell activation involved in immune response (GO:0002275)	2/19	0.0001608034054265043	0.004391169917416	0	0	130.47712418300654	1139.760479290825	FCER1G;TYROBP
GO_Biological_Process_2021	cellular response to lectin (GO:1990858)	3/115	0.00019657464146602703	0.0046522665146959	0	0	31.304621848739497	267.1683041887258	TYROBP;FCER1G;ICAM2
GO_Biological_Process_2021	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	3/115	0.00019657464146602703	0.0046522665146959	0	0	31.304621848739497	267.1683041887258	TYROBP;FCER1G;ICAM2
GO_Biological_Process_2021	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	3/119	0.00021744727153529252	0.0048246113371893	0	0	30.219066937119678	254.85413787677368	TYROBP;FCER1G;ICAM2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	4/335	0.0003029680631646581	0.006326686024909	0	0	14.840634441087614	120.23708626355074	TYROBP;FCER1G;XCL1;ISG15
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	3/149	0.00042092079830777386	0.008301493522181	0	0	23.97340854149879	186.34688370986544	CCL4;XCL1;RHOC
GO_Biological_Process_2021	positive regulation of interleukin-10 production (GO:0032733)	2/32	0.0004628054168177868	0.0083233765958961	0	0	73.88888888888889	567.3339517497183	XCL1;ISG15
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	3/155	0.0004724089891016131	0.0083233765958961	0	0	23.020123839009287	176.280406867155	CCL4;XCL1;UBE2V1
GO_Biological_Process_2021	positive regulation of cytokine production involved in immune response (GO:0002720)	2/33	0.0004923687563769557	0.0083233765958961	0	0	71.50179211469533	544.5778563946176	CD160;XCL1
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	3/176	0.0006840089612801364	0.0110374173297476	0	0	20.204352261135668	147.2400159657549	FCER1G;ISG15;JCHAIN
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	2/40	0.0007243190568082219	0.0111516919352473	0	0	58.30994152046784	421.5971209696659	CCL4;XCL1
